StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,SI1,SI1_23_TEXT,SI2,SI3,SI3_8_TEXT,SI4,SI4_10_TEXT,SI5_1,SI5_11,SI5_2,SI5_3,SI5_4,SI5_5,SI5_6,SI5_7,SI5_8,SI5_9,SI5_10,SI5_10_TEXT,SI6,SI7,SI7_5_TEXT,SI8,SI8_4_TEXT,SI9,SI9_5_TEXT,SI10,SI10_5_TEXT,SI11,SI12
2026-02-03 09:24:15,2026-02-03 10:42:20,IP Address,*******,100,4684,True,2026-02-03 10:42:20,R_1rNU6K3rNyg2D32,*******,*******,*******,*******,*******,*******,anonymous,EN,Other (Please Specify),Clinical Nutritionist,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Digestive Health,General Wellness/Prevention,Other (Please Specify)",supporting GLP-1,"Lack of tools, space, and/or equipment,Concerns about protein adequacy,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,,4,,5,2,,6,1,3,,,,"too expensive, no variety and doesn't taste as good as animal protein","Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,Other (Please Specify),Live cooking lessons where they can ask questions,Email,,"Nutritional Efficacy for Specific Medical Conditions,Behavior-Change Strategies",,PubMed,Follow up with shopping appts and cooking lessons (group sessions)
2026-02-03 12:32:52,2026-02-03 12:38:55,IP Address,*******,100,363,True,2026-02-03 12:38:56,R_7imPHyQKY66qwKy,*******,*******,*******,*******,*******,*******,anonymous,EN,Other (Please Specify),Social Worker and Health Coach,Yes,"Type 2 Diabetes/Prediabetes,Weight Management,Digestive Health,General Wellness/Prevention,Other (Please Specify)",Addiction Medicine,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Limited access to fresh produce (i.e., food insecurity)",,4,,2,,1,,,,3,,,,Fear of the unknown,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,Interactive Webpage",,Email,,"Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,ACLM resources,Some type of follow up-clinic work or communication
2026-02-03 12:48:01,2026-02-03 12:51:02,IP Address,*******,100,180,True,2026-02-03 12:51:02,R_53gqYHBhpkJZISC,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Oncology,Digestive Health,Rheumatology,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity),Digestive side effects",,7,8,1,9,3,4,5,2,10,6,,,,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,One-Pager/Brief,,Electronic Health Record,,"Protein Quality and Amino Acid Profiles,Review of Clinical Research and Dietary Guidelines",,,
2026-02-03 11:58:27,2026-02-03 13:48:19,IP Address,*******,100,6591,True,2026-02-03 13:48:20,R_12YT1UPuGSFlMtz,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician,,Yes,"General Wellness/Prevention,Other (Please Specify)",Cognitive health,"Lack of cooking skills and/or knowledge,Concerns about protein adequacy,Personal taste preferences",,2,,,3,1,,,,,,,,that they don't have habit of eating more plants and they just don't know how to start,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief,Interactive Webpage,Other (Please Specify)",handouts,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,"ACLM, NIH. AHA","handouts with practical strategies and links to short videos, 'shorts' "
2026-02-03 18:05:39,2026-02-03 18:09:04,IP Address,*******,100,204,True,2026-02-03 18:09:04,R_1pgJSfVQ18iWUvN,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Concerns about protein adequacy,Familial and/or household pushback,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,,,,2,,1,,4,3,,,,"Need for adequate protein, ","Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"One-Pager/Brief,Interactive Webpage",,QR Code,,"Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,Academy of nutrition and dietetics,
2026-02-04 09:04:06,2026-02-04 09:07:54,IP Address,*******,100,227,True,2026-02-04 09:07:54,R_6Y0D2oInBhzTykp,*******,*******,*******,*******,*******,*******,anonymous,EN,Healthcare Administrator,,No,,,"Lack of cooking skills and/or knowledge,Concerns about protein adequacy,Other (Please Specify)",Limited exposure,2,,,3,,,,,,,1,Lack of exposure,"Not enough protein, artificial/chemicals in PB proteins just as bad for you","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.)",,"One-Pager/Brief,Interactive Webpage",,QR Code,,Review of Clinical Research and Dietary Guidelines,,Academy of Nutrition and Dietetics,Community/Lifestyle Medicine support groups
2026-02-04 09:44:07,2026-02-04 09:56:33,IP Address,*******,100,745,True,2026-02-04 09:56:33,R_7FXlUnKpJ6TTvVg,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health",,"Affordability of healthy foods,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,,,1,,3,,5,2,4,,,,"Price, ease of obtaining fresh product, preparation of food and time it takes, overall support by family, friends and their institutions, negative press and now the food pyramid changes which have really put us behind. This is going to create a lot of misinformation.","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"One-Pager/Brief,Interactive Webpage",,Other (Please Specify),social media,"Nutritional Efficacy for Specific Medical Conditions,Review of Clinical Research and Dietary Guidelines",,"KP clinical library, AND, ASPEN, ESPEN, CDA, NIH, Hopkins, Emery. ","Make it easy, affordable and you may need to incentivize it to get it started. They wont see the benefit necessarily right away, so getting them to do one day, one week, one month."
2026-02-04 09:43:59,2026-02-04 09:56:56,IP Address,*******,100,776,True,2026-02-04 09:56:56,R_51XhOS3ulT5v4Tp,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation,Digestive side effects,Other (Please Specify)",Extent of misinformation/incomplete information from both medical colleagues and on the internet,2,,,3,6,5,,1,,7,4,Misinformation,"Perception that it is less in protein, misinformation, personal taste concerns and/or family taste concerns ","Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Other (Please Specify)",Integrating accurate protein consumption for a patient via calculation into the patient's chart by emphasizing tools that also calculate lean body mass,"Video,One-Pager/Brief,Interactive Webpage,Other (Please Specify)","Live cooking demos integrated into a clinical setting ",QR Code,,Nutritional Efficacy for Specific Medical Conditions,,"American College of Lifestyle Medicine, Forks Over Knives ",Understanding your patient's routine dietary history and providing direct modifications that are mutually agreed upon which favor plants over animal products and linking this to medication discontinuation and decreased risk of readmission
2026-02-04 10:11:31,2026-02-04 10:19:59,IP Address,*******,100,507,True,2026-02-04 10:19:59,R_6kUBELJRLjtzOE2,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,Rheumatology,Respiratory Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity),Digestive side effects,Other (Please Specify)","educational knowledge of the term ""plant based"" ",5,7,3,,2,6,1,8,4,9,10,knowledge of what plant based refers to; dismantling the perceptions of plant based,"Assumptions you're just eating vegetables and there is no ""meat"" protein; confusion on what plant based entails; advertising products and the message it is conveying to consumers are confusing and can be misleading ","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief,Interactive Webpage,Other (Please Specify)",on site demonstration,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,"established professional organizations, i.e. Americann Heart Association, materials developed within my own institution",
2026-02-04 10:19:24,2026-02-04 10:34:47,IP Address,*******,100,922,True,2026-02-04 10:34:47,R_1FLeJtQ152LNTmI,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology",,"Lack of cooking skills and/or knowledge,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation",,,,,,,,,,,,,,Not enough protein.   Gassy. Feel hungry all the time.,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief",,Printed Handouts,,"Review of Clinical Research and Dietary Guidelines,Other (Please Specify)","These same topics have been published since State of the World was published in 1984 and every few years thereafter.  What it boils down to is can you inform people about benefits convincingly enough for a person choose the lifestyle change. How do you communicate the benefits, because a person really can't see them day to day.","ADA or other disease specific association. ","I don't think it's effective to have maybe one 15–30 to minute conversation about plant-based eating and expect lifestyle change.  Inpatients have too many acute medical needs to manage and a plant based lifestyle change needs sustained reinforcement to implement. More beneficial as an out-patient based program. "
2026-02-04 10:28:06,2026-02-04 10:45:59,IP Address,*******,100,1072,True,2026-02-04 10:45:59,R_7fiN4D7ngaE13ln,*******,*******,*******,*******,*******,*******,anonymous,EN,Other (Please Specify),Director for Food and Clinical Nutrition,Yes,Other (Please Specify),"All ",Personal taste preferences,,,,,,,,,,,,,,"It doesn't taste good. It's fake and processed food. ",Other (Please Specify),"For hospitalized patients that discharged will be availability of low salt, carb-controlled, heart-healthy ready to eat meal delivery.  ",Other (Please Specify),"Short video (Reels) that has link to a one page brief and lead them to an interactive video when engaged.  ",Electronic Health Record,,Behavior-Change Strategies,,"KP, Academy of Nutrition and Dietettics, Mayo and Cleveland Clinic","1. Make a good impression of Plant-Based Hospital Food in-patient
2. Engagement of Patient Care Services Team and Physicians with Plant-Based options
3. Forward resources to Plant-Based Eating after discharged. 
4. Follow up of out-patient providers whether discharged patients are making progress with following a plant based diet.
5. Incorporate promotion of Plant Based Eating in all KP Media Resources and Interventions as appropriate. 
6. Create a events to promote a plant-based eating awareness. "
2026-02-04 10:54:48,2026-02-04 10:59:21,IP Address,*******,100,272,True,2026-02-04 10:59:21,R_7xKkcp8pzXpsWAs,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention,Other (Please Specify)",TF and TPN,"Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Limited access to fresh produce (i.e., food insecurity),Digestive side effects,Other (Please Specify)","not appropriate for acute care ",,,4,1,3,,,,5,2,6,not appropriate for acute care,I do not recommend plant- forward eating; not appropriate in acute care,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.)",,One-Pager/Brief,,Printed Handouts,,Other (Please Specify),none,"nutrition care manual ",no - not appropriate
2026-02-04 11:19:33,2026-02-04 11:23:59,IP Address,*******,100,266,True,2026-02-04 11:24:00,R_6FP5oQf7uqoOpUA,*******,*******,*******,*******,*******,*******,anonymous,EN,Other (Please Specify),nutrition manager,Yes,"Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Digestive Health",,"Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback",,,,,,,,,,,,,,it does not taste good and how will they get the protein,"Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,Video,,QR Code,,"Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,,
2026-02-04 11:30:25,2026-02-04 11:38:38,IP Address,*******,100,493,True,2026-02-04 11:38:40,R_1qreP7plTgFaZxv,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Digestive Health",,"Concerns about protein adequacy,Personal taste preferences",,,,,1,2,,,,,,,,not interested in plant based proteins,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.)",,One-Pager/Brief,,Printed Handouts,,Other (Please Specify),none,AND-Academy of Nutrition and Dietetics,"Introducing and encouraging plant-based eating is NOT appropriate in hospital. Pt's are sick, have undergone surgery/procedure, etc. Most are not feeling well. Surgery patients are reintroducing food and liquids. It is not the time or place to try vegan, high fiber foods.  Promoting vegan foods SHOULD be an outpatient program.  "
2026-02-04 12:12:20,2026-02-04 12:15:13,IP Address,*******,100,172,True,2026-02-04 12:15:13,R_537pb58XRo5Ky23,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,Rheumatology,Respiratory Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,2,8,7,,5,6,1,3,4,,,,Na,"Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief,Interactive Webpage",,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,"Variety ",No
2026-02-04 12:34:51,2026-02-04 12:44:50,IP Address,*******,100,598,True,2026-02-04 12:44:50,R_1mlWwarR3syQ5xI,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes",,4,,5,6,1,3,2,,,,,,"it's not as good as eating meat. ","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief",,QR Code,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies",,eatright.com NCM,"recipes need to be good, with accessible and affordable ingredients"
2026-02-04 12:34:31,2026-02-04 12:52:31,IP Address,*******,100,1080,True,2026-02-04 12:52:32,R_1QGC2BW913r1RLe,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health",,"Lack of cooking skills and/or knowledge,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation,Digestive side effects,Other (Please Specify)",Personal preferences,4,,,,1,2,,3,,5,6,,"1. They have to give up all the favorite foods
2. Plant-based diets are too restrictive
3. It’s too hard or time-consuming to follow.","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,"Video,Interactive Webpage",,Electronic Health Record,,"Nutritional Efficacy for Specific Medical Conditions,Behavior-Change Strategies,Sustainability Implications of Plant-Forward Eating",," Materials developed within my own institution.",Expose patients to delicious plant-based meals
2026-02-04 13:03:35,2026-02-04 13:16:11,IP Address,*******,100,755,True,2026-02-04 13:16:11,R_3DoyJEL4C3avkTD,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback",,,,4,2,1,3,,,,,,,There are not enough variety of protein rich plant based options; Prefer the taste of meat; Unable to find restaurants that offer good plant based options,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief",,QR Code,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles",,"Academy of Nutrition and Dietetics, ACLM, Kaiser Regional Health Education, etc.",
2026-02-04 13:44:07,2026-02-04 13:45:59,IP Address,*******,100,111,True,2026-02-04 13:45:59,R_7VwhzXYlItBj3OF,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Oncology,Respiratory Health",,"Affordability of healthy foods,Concerns about protein adequacy,Limited access to fresh produce (i.e., food insecurity),Digestive side effects",,,,1,2,,,,,4,3,,,,,,One-Pager/Brief,,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles",,,
2026-02-04 13:40:45,2026-02-04 14:03:19,IP Address,*******,100,1353,True,2026-02-04 14:03:19,R_663norpoSIZSJnH,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Personal taste preferences,Familial and/or household pushback",,,,,,,,,,,,,,"Doesn't have flavor or protein adequacy. ","Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,"One-Pager/Brief,Interactive Webpage",,QR Code,,"Nutritional Efficacy for Specific Medical Conditions,Review of Clinical Research and Dietary Guidelines",,"AND Nutrition Care Manual and KP educational materials ",
2026-02-04 13:57:23,2026-02-04 14:09:35,IP Address,*******,100,732,True,2026-02-04 14:09:35,R_5r1y4NqQTx30Nqy,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,Respiratory Health,General Wellness/Prevention,Other (Please Specify)","As a an RD, I often provide dietary advice for any reason people are hospitalized, ","Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Time needed for meal preparation,Digestive side effects,Other (Please Specify)",Misinformation such as soy causing cancer or “man boobs”; Fear that it is inadequate to feel satiated; Concern that they will be lacking nutrients,6,,2,3,1,,,7,,5,4,,It does not provide enough nutrition,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief,Other (Please Specify)",Live demos with samples,Printed Handouts,,Behavior-Change Strategies,,"Academy of Nutrition and Dietetics, Kaiser resources","Follow up, could be via phone call to ask how they are doing, help them problem solve "
2026-02-04 14:33:15,2026-02-04 14:49:42,IP Address,*******,100,987,True,2026-02-04 14:49:42,R_57dQ8U9ZE23BWBu,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Oncology,Digestive Health,Other (Please Specify)","CHF, bariatric ","Lack of cooking skills and/or knowledge,Personal taste preferences",,2,,,,1,,,,,,,,"""difficult to give up meat"" and ability to maintain on a plant based diet long term","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief,Interactive Webpage,Other (Please Specify)","support groups ",Printed Handouts,,Behavior-Change Strategies,,"KP clinical library, ASPEN, CDR ","support groups,  "
2026-02-04 16:46:39,2026-02-04 16:50:04,IP Address,*******,100,204,True,2026-02-04 16:50:04,R_5H7bJaV8ql3lp24,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Oncology",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,5,,1,4,6,,2,3,7,,,,"Not enough protein, worries about high soy consumption","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"One-Pager/Brief,Interactive Webpage",,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Review of Clinical Research and Dietary Guidelines",,"Nutrition Care Manual ","Handout regarding the phrase ""I would go vegan/plant based except for xxxx"" encouraging patient to still follow a plant based diet except for one item.  Reminders the diet is not all or nothing. "
2026-02-04 17:00:37,2026-02-04 17:07:36,IP Address,*******,100,419,True,2026-02-04 17:07:36,R_3uDygaaX1UkRZy9,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback,Limited access to fresh produce (i.e., food insecurity)",,4,,2,,3,5,,,1,,,,"affordability and how to start ","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief",,QR Code,,"Nutritional Efficacy for Specific Medical Conditions,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,"Academy of Nutrition and Dietetics Nutrition Care Manual along with materials developed within my own institution ",
2026-02-04 17:13:49,2026-02-04 17:19:19,IP Address,*******,100,329,True,2026-02-04 17:19:19,R_1HOmevGFtcNr24T,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Oncology,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Limited access to fresh produce (i.e., food insecurity),Other (Please Specify)",declining physical capability to cook,2,,4,,1,,3,,5,,6,,That the food wont taste good.,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief",,QR Code,,"Nutritional Efficacy for Specific Medical Conditions,Review of Clinical Research and Dietary Guidelines",,"hospital made materials, nutrition care manual ",
2026-02-04 17:37:42,2026-02-04 17:41:31,IP Address,*******,100,228,True,2026-02-04 17:41:31,R_5ovsS4cCvpr5Z4n,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation",,4,,2,5,3,1,,6,,,,,"Meat is needed ","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.)",,"Video,Interactive Webpage",,Email,,"Nutritional Efficacy for Specific Medical Conditions,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,"Aha ","Menus and meal plans "
2026-02-04 18:33:17,2026-02-04 18:36:35,IP Address,*******,100,198,True,2026-02-04 18:36:36,R_6gYKTagFBQ6N8eQ,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,Respiratory Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,1,2,3,7,6,,,5,4,,,,Lack of cooking ability,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,Interactive Webpage,,Printed Handouts,,Review of Clinical Research and Dietary Guidelines,,Nutrition care manual,Meal service options
